,studytime,failures,absences,G1,G2,G3,Clusters
0,2,0,6,5,6,6,1
1,2,0,4,5,5,6,1
2,2,3,10,7,8,10,2
3,3,0,2,15,14,15,1
4,2,0,4,6,10,10,1
5,2,0,10,15,15,15,2
6,2,0,0,12,12,11,1
7,2,0,6,6,5,6,1
8,2,0,0,16,18,19,1
9,2,0,0,14,15,15,1
10,2,0,0,10,8,9,1
11,3,0,4,10,12,12,1
12,1,0,2,14,14,14,1
13,2,0,2,10,10,11,1
14,3,0,0,14,16,16,1
15,1,0,4,14,14,14,1
16,3,0,6,13,14,14,1
17,2,0,4,8,10,10,1
18,1,3,16,6,5,5,2
19,1,0,4,8,10,10,1
20,2,0,0,13,14,15,1
21,1,0,0,12,15,15,1
22,2,0,2,15,15,16,1
23,2,0,0,13,13,12,1
24,3,0,2,10,9,8,1
25,1,2,14,6,9,8,2
26,1,0,2,12,12,11,1
27,1,0,4,15,16,15,1
28,2,0,4,11,11,11,1
29,2,0,16,10,12,11,2
30,2,0,0,9,11,12,1
31,2,0,0,17,16,17,1
32,2,0,0,17,16,16,1
33,2,0,0,8,10,12,1
34,1,0,0,12,14,15,1
35,1,0,0,8,7,6,1
36,3,0,2,15,16,18,1
37,3,0,7,15,16,15,1
38,3,0,2,12,12,11,1
39,1,0,8,14,13,13,2
40,2,1,25,7,10,11,2
41,1,0,8,12,12,12,2
42,2,0,2,19,18,18,1
43,1,0,0,8,8,11,1
44,2,1,14,10,10,9,2
45,2,0,8,8,8,6,2
46,2,0,12,11,12,11,2
47,4,0,4,19,19,20,1
48,2,0,2,15,15,14,1
49,2,1,2,7,7,7,1
50,2,0,2,12,13,13,1
51,2,0,2,11,13,13,1
52,1,1,6,11,11,10,1
53,1,0,0,8,10,11,1
54,1,0,6,10,13,13,1
55,2,0,8,8,9,10,2
56,2,0,0,14,15,15,1
57,2,0,4,14,15,15,1
58,2,0,2,9,10,9,1
59,2,0,2,15,16,16,1
60,2,0,6,10,11,11,1
61,1,0,6,10,8,11,1
62,2,0,4,8,10,9,1
63,3,0,2,10,9,9,1
64,2,0,0,10,10,10,1
65,2,0,2,16,15,15,1
66,4,0,4,13,13,12,1
67,4,0,4,7,7,6,1
68,2,0,2,8,9,8,1
69,4,0,12,16,16,16,2
70,4,0,0,13,15,15,1
71,4,0,0,10,10,10,1
72,2,2,2,8,6,5,1
73,1,0,2,12,12,14,1
74,2,0,54,11,12,11,0
75,2,0,6,9,9,10,1
76,4,0,8,11,11,10,2
77,4,0,0,11,11,11,1
78,1,3,2,8,8,10,1
79,2,0,12,5,5,5,2
80,1,0,2,10,12,12,1
81,3,0,4,11,10,11,1
82,2,0,10,7,6,6,2
83,2,0,4,15,15,15,1
84,2,0,2,9,10,10,1
85,2,2,6,7,9,8,1
86,2,0,4,8,7,6,1
87,3,0,4,13,14,14,1
88,2,1,12,11,10,10,2
89,2,0,18,8,6,7,2
90,3,0,0,7,7,8,1
91,1,0,4,16,17,18,1
92,2,0,4,7,6,6,1
93,2,0,0,11,10,10,1
94,4,0,6,11,13,14,1
95,4,1,2,7,10,10,1
96,1,0,2,11,15,15,1
97,2,0,2,8,9,10,1
98,1,0,6,11,14,14,1
99,3,0,0,7,9,8,1
100,1,0,14,7,7,5,2
